round,avalanche_avg,avalanche_min,avalanche_max,rotational_distance_avg,linear_abs_bias
1,585.064,228,868,1025.131,0.002930
2,1024.833,951,1092,1024.544,0.003906
3,1024.437,946,1106,1024.152,0.000977
4,1024.418,959,1098,1022.932,0.032227
5,1022.891,955,1093,1023.595,0.020508
6,1024.318,954,1113,1023.411,0.025391
7,1025.199,947,1095,1024.659,0.002930
8,1022.883,954,1107,1022.804,0.004883
9,1023.484,954,1091,1024.702,0.017578
10,1023.688,954,1093,1025.080,0.010742
11,1024.365,942,1107,1023.456,0.006836
12,1023.258,960,1115,1022.478,0.002930
13,1024.434,960,1110,1023.986,0.005859
14,1022.685,951,1094,1024.436,0.002930
15,1024.256,946,1098,1024.098,0.015625
16,1024.557,958,1094,1024.591,0.004883
